; AFV Flight Schedule - exported on 06/22/2020 14:43:51 UTC
; SOURCE,LINE,STARTS,ENDS,DAYS,AIRLINE,NUMBER,LEG,EQTYPE,FROM,DTIME,TO,ATIME,DISTANCE,HISTORIC,FORCE,ACADEMY
MANUAL,1,1-Jan,31-Dec,1234567,FM,9229,1,B737-300,SHA,06:50,TAO,08:00,355,false,false,false
MANUAL,2,01-Jan,31-Dec,1234567,FM,9229,2,B737-300,TAO,09:30,JXA,11:45,841,false,false,false
MANUAL,3,1-Jan,31-Dec,1234567,S4,151,1,A320,LIS,07:00,HOR,08:45,1056,false,false,false
MANUAL,4,1-Jan,31-Dec,,S4,150,1,A320,HOR,10:50,LIS,13:55,1056,false,false,false
MANUAL,5,01-Jan,31-Dec,1234567,S4,150,1,A320,HOR,10:50,LIS,13:55,1056,false,false,false
MANUAL,6,01-Jan,31-Dec,1,AF,9229,1,B737-300,TAO,09:30,JXA,11:45,841,false,true,false
MANUAL,7,03-Mar,31-Dec,1234567,CZ,6841,1,B737-800,URC,08:20,AAT,09:35,267,false,false,false
MANUAL,8,03-Mar,31-Dec,1234567,CZ,6842,1,B737-800,AAT,10:20,URC,11:30,267,false,false,false
MANUAL,9,01-Jan,31-Dec,135,CZ,6557,1,A320,SZX,16:50,ZYI,18:40,544,false,false,false
MANUAL,10,01-Jan,31-Dec,135,CZ,6558,1,A320,ZYI,19:30,SZX,21:25,544,false,false,false
MANUAL,11,01-Jan,31-Dec,1234567,CZ,3929,1,A319,CAN,09:05,ZYI,10:50,486,false,false,false
MANUAL,12,01-Jan,31-Dec,1234567,CZ,3930,1,A319,ZYI,11:45,CAN,13:30,486,false,false,false
MANUAL,13,01-Jan,31-Dec,1234567,CZ,6695,1,ERJ-190,URC,16:20,FYN,17:40,224,false,false,false
MANUAL,14,01-Jan,31-Dec,1234567,CZ,6696,1,ERJ-190,FYN,18:25,URC,19:35,224,false,false,false
MANUAL,15,01-Jan,31-Dec,1234567,MU,5606,1,A319,URC,10:25,HMI,12:00,320,false,false,false
MANUAL,16,01-Jan,31-Dec,1234567,MU,5606,2,A319,HMI,12:45,PVG,16:45,1740,false,false,false
MANUAL,17,01-Jan,31-Dec,1234567,MU,5605,1,A319,PVG,15:45,HMI,20:50,1740,false,false,false
