ABE,KABE,US/Eastern,Allentown PA,40.6524,-75.4404
ABJ,DIAP,Africa/Lagos,Abidjan Ivory Coast,5.2597,-3.9264
ABQ,KABQ,US/Mountain,Albuquerque NM,35.0402,-106.609
ABR,KABR,US/Central,Aberdeen SD,45.4489,-98.4217
ABY,KABY,US/Eastern,Albany GA,31.5356,-84.1944
ABZ,EGPD,Etc/Greenwich,Aberdeen United Kingdom,57.2047,-2.1978
ACA,MMAA,US/Central,Acapulco Mexico,16.7569,-99.7536
ACY,KACY,US/Eastern,Atlantic City NJ,39.4575,-74.5769
AEX,KAEX,US/Central,Alexandria LA,31.3274,-92.5486
AGA,GMAD,Africa/Casablanca,Agadir Morocco,30.3225,-9.4114
AGP,LEMG,Europe/Paris,Malaga Spain,36.6736,-4.4989
AGS,KAGS,US/Eastern,Augusta GA,33.37,-81.9645
AGU,MMAS,US/Central,Aguascalientes Mexico,21.7053,-102.318
AJA,LFKJ,Europe/Paris,Ajaccio France,41.9236,8.8028
AKL,NZAA,Pacific/Auckland,Auckland New Zealand,-37.0081,174.792
ALB,KALB,US/Eastern,Albany NY,42.7481,-73.803
ALC,LEAL,Europe/Paris,Alicante Spain,38.2819,-0.5581
ALG,DAAG,Europe/Paris,Algiers Algeria,36.6908,3.2153
ALO,KALO,US/Central,Waterloo IA,42.5569,-92.4003
AMA,KAMA,US/Central,Amarillo TX,35.2194,-101.706
AMM,OJAM,Asia/Kuwait,Amman Jordan,31.9727,35.9916
AMS,EHAM,Europe/Paris,Amsterdam Netherlands,52.3086,4.7639
ANC,PANC,US/Alaska,Anchorage AK,61.1742,-149.996
ANU,TAPA,Canada/Atlantic,St Johns Antigua and Barbuda,17.1367,-61.7925
AOI,LIPY,Europe/Paris,Ancona Italy,43.6164,13.3622
AOJ,RJSA,Asia/Tokyo,Aomori Japan,40.7347,140.691
APF,KAPF,US/Eastern,Naples FL,26.1525,-81.775
ARN,ESSA,Europe/Paris,Stockholm-Arlanda Sweden,59.6572,17.9331
ASE,KASE,US/Mountain,Aspen CO,39.2231,-106.869
ATH,LGAV,Europe/Athens,Athens Greece,37.8867,23.73
ATL,KATL,US/Eastern,Atlanta GA,33.6403,-84.4267
ATW,KATW,US/Central,Appleton WI,44.2574,-88.5195
ATY,KATY,US/Central,Watertown SD,44.9139,-97.1544
AUA,SWBV,US/Eastern,Aruba Netherland Antilles,12.5014,-70.0152
AUH,OMAA,Asia/Dubai,Abu Dhabi United Arab Emirates,24.433,54.6511
AUS,KAUS,US/Central,Austin TX,30.1944,-97.67
AVL,KAVL,US/Eastern,Asheville NC,35.4361,-82.5419
AVN,LFMV,Europe/Paris,Avignon France,43.9072,4.9017
AVP,KAVP,US/Eastern,Wilkes-Barre/Scranton PA,41.3381,-75.7242
AXT,RJSK,Asia/Tokyo,Akita Japan,39.6156,140.219
AZO,KAZO,US/Eastern,Kalamazoo MI,42.235,-85.5519
BAH,OBBI,Asia/Kuwait,Bahrain International Airport,26.2708,50.9669
