AirlineName,AircraftManufacturer,AircraftManufacturerCountry,AircraftRegistrationCode,AircraftTypeCode,AircraftTypeName,AircraftSerialNumber,AircraftCeiling,AircraftRange,AircraftMTOW,AircraftUsageType,AircraftWingType,AircraftSeatingClassType,AircraftSeatingCapacity,AircraftCargoCapacity
Delta Air Lines,Airbus,France,N301NB,A319,Airbus A319-114,1058,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N302NB,A319,Airbus A319-114,1062,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N30NB,A319,Airbus A319-114,139,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N314NB,A319,Airbus A319-114,1191,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N315NB,A319,Airbus A319-114,1230,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N316NB,A319,Airbus A319-114,1249,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N317NB,A319,Airbus A319-114,1324,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N318NB,A319,Airbus A319-114,1325,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N319NB,A319,Airbus A319-114,1346,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N320NB,A319,Airbus A319-114,1392,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N321NB,A319,Airbus A319-114,1414,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N322NB,A319,Airbus A319-114,1434,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N323NB,A319,Airbus A319-114,1453,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N324NB,A319,Airbus A319-114,1456,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N325NB,A319,Airbus A319-114,1483,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N326NB,A319,Airbus A319-114,1498,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N327NB,A319,Airbus A319-114,1501,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N328NB,A319,Airbus A319-114,1520,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N329NB,A319,Airbus A319-114,1543,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N330NB,A319,Airbus A319-114,1549,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N331NB,A319,Airbus A319-114,1567,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N332NB,A319,Airbus A319-114,1570,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N333NB,A319,Airbus A319-114,1582,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N334NB,A319,Airbus A319-114,1659,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N335NB,A319,Airbus A319-114,1662,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N336NB,A319,Airbus A319-114,1683,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N337NB,A319,Airbus A319-114,1685,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N338NB,A319,Airbus A319-114,1693,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N339NB,A319,Airbus A319-114,1709,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N340NB,A319,Airbus A319-114,1714,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N341NB,A319,Airbus A319-114,1738,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N342NB,A319,Airbus A319-114,1746,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N343NB,A319,Airbus A319-114,1752,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N344NB,A319,Airbus A319-114,1766,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N345NB,A319,Airbus A319-114,1774,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N346NB,A319,Airbus A319-114,1796,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N347NB,A319,Airbus A319-114,1800,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N348NB,A319,Airbus A319-114,1810,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N349NB,A319,Airbus A319-114,1815,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N351NB,A319,Airbus A319-114,1820,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N352NB,A319,Airbus A319-114,1824,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N353NB,A319,Airbus A319-114,1828,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N354NB,A319,Airbus A319-114,1833,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N355NB,A319,Airbus A319-114,1839,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N357NB,A319,Airbus A319-114,1875,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N358NB,A319,Airbus A319-114,1897,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N359NB,A319,Airbus A319-114,1923,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N360NB,A319,Airbus A319-114,1959,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N361NB,A319,Airbus A319-114,1976,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N362NB,A319,Airbus A319-114,1982,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N363NB,A319,Airbus A319-114,1990,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N364NB,A319,Airbus A319-114,2002,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N365NB,A319,Airbus A319-114,2013,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N366NB,A319,Airbus A319-114,2026,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N368NB,A319,Airbus A319-114,2039,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N369NB,A319,Airbus A319-114,2047,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N370NB,A319,Airbus A319-114,2087,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N371NB,A319,Airbus A319-114,2095,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N3NB,A319,Airbus A319-114,1434,41000,3750,75500,Passenger,Fixed,1 Class,134,0
Delta Air Lines,Airbus,France,N309US,A320,Airbus A320-211,0118,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N310NW,A320,Airbus A320-211,0121,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N312US,A320,Airbus A320-211,0152,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N313US,A320,Airbus A320-211,0153,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N314US,A320,Airbus A320-211,0160,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N317US,A320,Airbus A320-211,0197,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N319US,A320,Airbus A320-211,0208,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N320US,A320,Airbus A320-211,0213,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N321US,A320,Airbus A320-211,0262,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N322US,A320,Airbus A320-211,0263,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N323US,A320,Airbus A320-211,0272,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N324US,A320,Airbus A320-211,0273,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N325US,A320,Airbus A320-211,0281,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N326US,A320,Airbus A320-211,0282,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N327NW,A320,Airbus A320-211,0297,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N328NW,A320,Airbus A320-211,0298,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N329NW,A320,Airbus A320-211,0306,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N330NW,A320,Airbus A320-211,0307,41000,3300,78000,Passenger,Fixed,2 Class,150,0
Delta Air Lines,Airbus,France,N331NW,A320,Airbus A320-211,0318,41000,3300,78000,Passenger,Fixed,2 Class,150,0
