flight_number,dep_icao,dep_city,arr_icao,arr_city,dep_time,arr_time,duration,day,aircraft,aircraft_reg,route,notes,operator
DL1,EGLL,London,KJFK,New York,09:30:00.0000000,17:30:00.0000000,08:00:00.0000000,Mo Tu We Th Fr Sa Su,B763,N183DN,Delta Air Lines Passenger Schedule. Enter filed route here before submitting Pirep.,Expected Callsign: DELTA 1 (DAL1). Please check: https://www.flightradar24.com/data/flights/dl1,Delta Air Lines
DL2,EGLL,London,KJFK,New York,11:35:00.0000000,19:37:00.0000000,08:02:00.0000000,Tu,B763,N182DN,Delta Air Lines Passenger Schedule. Enter filed route here before submitting Pirep.,Expected Callsign: DELTA 2 (DAL2). Please check: https://www.flightradar24.com/data/flights/dl2,Delta Air Lines
DL2,KJFK,New York,KSAN,San Diego,23:20:00.0000000,05:40:00.0000000,06:20:00.0000000,Sa,B752,N687DL,Delta Air Lines Passenger Schedule. Enter filed route here before submitting Pirep.,Expected Callsign: DELTA 2 (DAL2). Please check: https://www.flightradar24.com/data/flights/dl2,Delta Air Lines
DL2,KJFK,New York,KSAN,San Diego,23:20:00.0000000,05:45:00.0000000,06:25:00.0000000,Mo Tu We Th Fr Su,B752,N687DL,Delta Air Lines Passenger Schedule. Enter filed route here before submitting Pirep.,Expected Callsign: DELTA 2 (DAL2). Please check: https://www.flightradar24.com/data/flights/dl2,Delta Air Lines
DL2,EGLL,London,KJFK,New York,11:35:00.0000000,19:42:00.0000000,08:07:00.0000000,Mo We Th Fr Sa Su,B763,N182DN,Delta Air Lines Passenger Schedule. Enter filed route here before submitting Pirep.,Expected Callsign: DELTA 2 (DAL2). Please check: https://www.flightradar24.com/data/flights/dl2,Delta Air Lines
DL3,EGLL,London,KJFK,New York,16:30:00.0000000,00:38:00.0000000,08:08:00.0000000,Mo Tu We Th Fr Sa Su,B763,N178DN,Delta Air Lines Passenger Schedule. Enter filed route here before submitting Pirep.,Expected Callsign: DELTA 3 (DAL3). Please check: https://www.flightradar24.com/data/flights/dl3,Delta Air Lines
DL4,KLAS,Las Vegas,KJFK,New York,17:30:00.0000000,22:50:00.0000000,05:20:00.0000000,Tu,B738,N3745B,Delta Air Lines Passenger Schedule. Enter filed route here before submitting Pirep.,Expected Callsign: DELTA 4 (DAL4). Please check: https://www.flightradar24.com/data/flights/dl4,Delta Air Lines
DL4,KLAS,Las Vegas,KJFK,New York,17:25:00.0000000,22:45:00.0000000,05:20:00.0000000,Mo We Th Fr Sa Su,B738,N3745B,Delta Air Lines Passenger Schedule. Enter filed route here before submitting Pirep.,Expected Callsign: DELTA 4 (DAL4). Please check: https://www.flightradar24.com/data/flights/dl4,Delta Air Lines
DL4,KJFK,New York,EDDF,Frankfurt,23:46:00.0000000,07:45:00.0000000,07:59:00.0000000,Mo Tu We Th Fr Sa Su,B764,N844MH,Delta Air Lines Passenger Schedule. Enter filed route here before submitting Pirep.,Expected Callsign: DELTA 4 (DAL4). Please check: https://www.flightradar24.com/data/flights/dl4,Delta Air Lines
DL6,KLAX,Los Angeles,KSLC,Salt Lake City,18:34:00.0000000,20:25:00.0000000,01:51:00.0000000,Sa,A320,N314US,Delta Air Lines Passenger Schedule. Enter filed route here before submitting Pirep.,Expected Callsign: DELTA 6 (DAL6). Please check: https://www.flightradar24.com/data/flights/dl6,Delta Air Lines
