"From","To","Days","Dep.","time","Arr.","time","Flightnumber","A/C","Class","stops","via","FlightTime","ServiceType"
""
""
"FROM","Acapulco (ACA)"
"TO","Atlanta   (ATL)  (Hartsfield-Jackson Atlanta International Airport)"
"10-Jun","17-Jun","     6 ","ACA","1541","ATL","2010","DL328","738","FJY",0,"","3:29","J"
"21-Jun","","  3  6 ","ACA","1541","ATL","2010","DL328","738","FJY",0,"","3:29","J"
"TO","New York   (NYC)  (JFK-John F. Kennedy International Airport)"
"10-Jun","","     6 ","ACA","1354","JFK","1953","DL280","738","FJY",0,"","4:59","J"
""
""
"FROM","Aguadilla (BQN)"
"TO","Atlanta   (ATL)  (Hartsfield-Jackson Atlanta International Airport)"
"01-Jul","","1  4 67","BQN","1527","ATL","1900","DL4581*","CR7","Y",0,"","3:33","J"
"08-Jun","29-Jun","1  4 67","BQN","1527","ATL","1904","DL4581*","CR7","Y",0,"","3:37","J"
""
""
"FROM","Aguascalientes (AGU)"
"TO","Los Angeles   (LAX)  (Los Angeles International Airport)"
"18-Jul","18-Jul"," 2     ","AGU","1605","LAX","1710","DL8096*","737","JY",0,"","3:05","J"
"04-Jun","20-Jun"," 2  56 ","AGU","1605","LAX","1720","DL8096*","M80","JY",0,"","3:15","J"
"23-Jun","24-Jun","    56 ","AGU","1605","LAX","1720","DL8096*","M87","JY",0,"","3:15","J"
"27-Jun","01-Jul"," 2  56 ","AGU","1605","LAX","1720","DL8096*","M80","JY",0,"","3:15","J"
"04-Jul","04-Jul"," 2     ","AGU","1605","LAX","1720","DL8096*","M87","JY",0,"","3:15","J"
"07-Jul","14-Jul"," 2  56 ","AGU","1605","LAX","1720","DL8096*","M80","JY",0,"","3:15","J"
"15-Jul","21-Jul","    56 ","AGU","1605","LAX","1720","DL8096*","M87","JY",0,"","3:15","J"
"22-Jul",""," 2  56 ","AGU","1605","LAX","1720","DL8096*","M80","JY",0,"","3:15","J"
""
""
"FROM","Akron/Canton (CAK)"
"TO","Atlanta   (ATL)  (Hartsfield-Jackson Atlanta International Airport)"
"","07-Jun"," 23    ","CAK","0600","ATL","0735","DL5485*","CR7","Y",0,"","1:35","J"
"08-Jun","","1234567","CAK","0600","ATL","0738","DL5485*","CR7","Y",0,"","1:38","J"
"08-Jun","30-Jun","1234567","CAK","0720","ATL","0910","DL5912*","CR7","Y",0,"","1:50","J"
"01-Jul","","1234567","CAK","0720","ATL","0910","DL5577*","CR7","Y",0,"","1:50","J"
"","07-Jun"," 23    ","CAK","0730","ATL","0917","DL5069*","CR7","Y",0,"","1:47","J"
"","07-Jun","  3    ","CAK","0953","ATL","1135","DL4898*","CRJ","Y",0,"","1:42","J"
"08-Jun","","1234567","CAK","0953","ATL","1135","DL4271*","CRJ","Y",0,"","1:42","J"
"","07-Jun"," 23    ","CAK","1222","ATL","1415","DL6108*","ER4","Y",0,"","1:53","J"
"08-Jun","","1234567","CAK","1224","ATL","1417","DL6108*","ER4","Y",0,"","1:53","J"
"01-Jul","","1234567","CAK","1427","ATL","1618","DL6132*","ER4","Y",0,"","1:51","J"
"","07-Jun"," 23    ","CAK","1435","ATL","1625","DL4810*","CRJ","Y",0,"","1:50","J"
